0;t_default;P_default;t_cwm;P_cwm
;3.7870285998255204e-08;0.9029312424887941;3.7870285998255204e-08;0.9540850094892277
;3.800410326324985e-08;0.9002867783158508;3.800410326324985e-08;0.9540801693244313
;3.8137920528244496e-08;0.9056708041995299;3.8137920528244496e-08;0.9576750666799657
;3.827173779323914e-08;0.9002399028110109;3.827173779323914e-08;0.9563308597980844
;3.840555505823379e-08;0.899340543296569;3.840555505823379e-08;0.9446018286031278
;3.853937232322843e-08;0.8967141348375047;3.853937232322843e-08;0.9382827012586675
;3.867318958822308e-08;0.8962509869181418;3.867318958822308e-08;0.9314771359405546
;3.8807006853217724e-08;0.8862932269907171;3.8807006853217724e-08;0.9220584877243778
;3.894082411821237e-08;0.8853522370644157;3.894082411821237e-08;0.9126177763419909
;3.9074641383207015e-08;0.8966461745008184;3.9074641383207015e-08;0.914852032412225
;3.920845864820166e-08;0.8970274369883298;3.920845864820166e-08;0.908090359704185
;3.934227591362999e-08;0.8866207265843054;3.934227591362999e-08;0.8968241869708832
;3.947609317862463e-08;0.8843137107570413;3.947609317862463e-08;0.8976544755629853
;3.960991044361928e-08;0.8865185270447727;3.960991044361928e-08;0.8908162266783634
;3.9743727708613924e-08;0.874859691559158;3.9743727708613924e-08;0.8799060999866991
;3.987754497360857e-08;0.8721601947390977;3.987754497360857e-08;0.8690060500917105
;4.0011362238603215e-08;0.866736991902201;4.0011362238603215e-08;0.866749276218777
;4.014517950359786e-08;0.8626747460267976;4.014517950359786e-08;0.8573504437165641
;4.0278996768592507e-08;0.855998317731278;4.0278996768592507e-08;0.8536786837125774
;4.041281403358715e-08;0.8420523537684118;4.041281403358715e-08;0.8468417385977206
;4.05466312985818e-08;0.8316646603268308;4.05466312985818e-08;0.8351418413064512
;4.0680448563576443e-08;0.8226543490733647;4.0680448563576443e-08;0.8310932664779147
;4.081426582857109e-08;0.8145948213908069;4.081426582857109e-08;0.8198116921649918
;4.0948083093565735e-08;0.8069582573334573;4.0948083093565735e-08;0.8121502065167124
;4.108190035856038e-08;0.8029198215790924;4.108190035856038e-08;0.8044221190674224
;4.1215717623555026e-08;0.7966095511984815;4.1215717623555026e-08;0.7886141220348406
;4.134953488854967e-08;0.7889924684338235;4.134953488854967e-08;0.7908155702349556
;4.148335215354432e-08;0.7830117212199651;4.148335215354432e-08;0.7871687684301805
;4.161716941853896e-08;0.77445778694877;4.161716941853896e-08;0.7722980035794691
;4.175098668353361e-08;0.773162389791119;4.175098668353361e-08;0.7470875202294216
;4.1884803948528254e-08;0.7583214301085559;4.1884803948528254e-08;0.7466398497656634
;4.20186212135229e-08;0.7434427645958931;4.20186212135229e-08;0.7313458035356527
;4.2152438478517545e-08;0.7277216137720692;4.2152438478517545e-08;0.7272479382931353
;4.228625574351219e-08;0.7214190056210558;4.228625574351219e-08;0.7132535282081826
;4.242007300850684e-08;0.7002869910535278;4.242007300850684e-08;0.7110350445435223
;4.255389027350148e-08;0.6854885123475865;4.255389027350148e-08;0.7002610268922393
;4.268770753849613e-08;0.6800320462419972;4.268770753849613e-08;0.6817921721835962
;4.2821524803924454e-08;0.6697215685076802;4.2821524803924454e-08;0.6764226579004545
;4.29553420689191e-08;0.6526270791940987;4.29553420689191e-08;0.6702148951405703
;4.3089159333913746e-08;0.6566870043248952;4.3089159333913746e-08;0.671076380879107
;4.322297659890839e-08;0.6444955036251113;4.322297659890839e-08;0.666099661581432
;4.335679386390304e-08;0.6278897836940279;4.335679386390304e-08;0.662974669090953
;4.349061112889768e-08;0.6175185050080443;4.349061112889768e-08;0.6472088745191789
;4.362442839389233e-08;0.6130002600800032;4.362442839389233e-08;0.641811897776666
;4.3758245658886974e-08;0.604476935469032;4.3758245658886974e-08;0.6427138851032772
;4.389206292388162e-08;0.590029471575287;4.389206292388162e-08;0.6350848977043438
;4.4025880188876265e-08;0.576962887828643;4.4025880188876265e-08;0.6261597745444079
;4.415969745387091e-08;0.5679206439013094;4.415969745387091e-08;0.6175611410004517
;4.4293514718865556e-08;0.5557893287522946;4.4293514718865556e-08;0.5968218374155242
;4.44273319838602e-08;0.535124829618282;4.44273319838602e-08;0.588742763386061
;4.456114924885485e-08;0.5201995025729257;4.456114924885485e-08;0.5788572270735554
;4.4694966513849493e-08;0.5013046754771181;4.4694966513849493e-08;0.5775287283308722
;4.482878377884414e-08;0.49498147720061786;4.482878377884414e-08;0.5649082721034355
;4.4962601043838785e-08;0.48418673764507053;4.4962601043838785e-08;0.5513580949685192
;4.509641830883343e-08;0.4783242927749742;4.509641830883343e-08;0.5431975868023541
;4.5230235573828076e-08;0.4684429460387908;4.5230235573828076e-08;0.5301370431600259
;4.536405283882272e-08;0.4576399841436902;4.536405283882272e-08;0.5242713795348702
;4.549787010381737e-08;0.4549296743906591;4.549787010381737e-08;0.5129802207551184
;4.563168736881201e-08;0.44817739750741836;4.563168736881201e-08;0.4953572703299544
;4.576550463380666e-08;0.44003456144769854;4.576550463380666e-08;0.4809513122178021
;4.5899321898801304e-08;0.43189998511457045;4.5899321898801304e-08;0.4669004626115041
;4.603313916379595e-08;0.4170680716012568;4.603313916379595e-08;0.45465752028077766
;4.6166956429224276e-08;0.401786152765137;4.6166956429224276e-08;0.43890661204865405
;4.630077369421892e-08;0.3972818340141959;4.630077369421892e-08;0.4213458591473643
;4.643459095921357e-08;0.39366682276835846;4.643459095921357e-08;0.409115273902473
;4.656840822420821e-08;0.38739077191772703;4.656840822420821e-08;0.4068823255945076
;4.670222548920286e-08;0.3724881176282249;4.670222548920286e-08;0.3937853329496651
;4.6836042754197504e-08;0.3634418747140698;4.6836042754197504e-08;0.3815471644679547
;4.696986001919215e-08;0.3539943794208601;4.696986001919215e-08;0.368896119035505
;4.7103677284186796e-08;0.34543685130519314;4.7103677284186796e-08;0.3625788345665312
;4.723749454918144e-08;0.33595629068475985;4.723749454918144e-08;0.35224357490785163
;4.737131181417609e-08;0.33143377671600216;4.737131181417609e-08;0.34405790923038543
;4.750512907917073e-08;0.32065837890129223;4.750512907917073e-08;0.3336749202450096
;4.763894634416538e-08;0.31795103417882964;4.763894634416538e-08;0.3318498587292024
;4.7772763609160024e-08;0.3107285055961624;4.7772763609160024e-08;0.32550980664987295
;4.790658087415467e-08;0.30670441515338726;4.790658087415467e-08;0.3187375273363217
;4.8040398139149315e-08;0.2976763654428218;4.8040398139149315e-08;0.3133382420511063
;4.817421540414396e-08;0.28909495196853646;4.817421540414396e-08;0.3052073840260393
;4.8308032669138606e-08;0.2805627548602609;4.8308032669138606e-08;0.2975077277218031
;4.844184993413325e-08;0.27426007856879325;4.844184993413325e-08;0.2916560692339398
;4.85756671991279e-08;0.26658730399182384;4.85756671991279e-08;0.2894161844835111
;4.870948446412254e-08;0.25312497844496656;4.870948446412254e-08;0.28807056738287806
;4.884330172911719e-08;0.24998587043604878;4.884330172911719e-08;0.2844611024296188
;4.8977118994111835e-08;0.24416261571885348;4.8977118994111835e-08;0.27276073031325276
;4.911093625910648e-08;0.2387258010671245;4.911093625910648e-08;0.27183779680969566
;4.9244753524101126e-08;0.23422124389973756;4.9244753524101126e-08;0.26643296920393394
;4.937857078909577e-08;0.22569541640870222;4.937857078909577e-08;0.2579025213504188
;4.951238805409042e-08;0.21891038405343746;4.951238805409042e-08;0.24934444640647466
;4.9646205319518744e-08;0.2121729043623257;4.9646205319518744e-08;0.23853452591470287
;4.978002258451339e-08;0.21037802214061466;4.978002258451339e-08;0.2358732971809802
;4.9913839849508035e-08;0.20544404876978895;4.9913839849508035e-08;0.22774549271108485
;5.004765711450268e-08;0.20001369858149737;5.004765711450268e-08;0.21827110406489458
;5.0181474379497326e-08;0.18790003834101082;5.0181474379497326e-08;0.21286223928141332
;5.031529164449197e-08;0.18250903052684717;5.031529164449197e-08;0.20568572894482182
;5.044910890948662e-08;0.17981152951422824;5.044910890948662e-08;0.20077943770401252
;5.058292617448126e-08;0.17664176213147234;5.058292617448126e-08;0.19354091592066164
;5.071674343947591e-08;0.17033061952110642;5.071674343947591e-08;0.18543058449788233
;5.0850560704470554e-08;0.1644651103185535;5.0850560704470554e-08;0.17550137529375942
;5.09843779694652e-08;0.1595169370038659;5.09843779694652e-08;0.16919014555382952
;5.1118195234459846e-08;0.1550336769494174;5.1118195234459846e-08;0.15974452314067325
;5.125201249945449e-08;0.1496303808813892;5.125201249945449e-08;0.15299278510152367
;5.138582976444914e-08;0.14736872936894238;5.138582976444914e-08;0.1448915181798238
;5.151964702944378e-08;0.13883337963584672;5.151964702944378e-08;0.13858907133571188
;5.165346429443843e-08;0.1374905200390554;5.165346429443843e-08;0.1372493411917552
;5.1787281559433074e-08;0.13073099848626904;5.1787281559433074e-08;0.13274608911889155
;5.192109882442772e-08;0.12441494311334805;5.192109882442772e-08;0.12732494314518825
;5.2054916089422365e-08;0.11854191914230348;5.2054916089422365e-08;0.1241783984589152
;5.218873335441701e-08;0.11674097507245168;5.218873335441701e-08;0.11967077210923803
;5.2322550619411656e-08;0.11404225862205843;5.2322550619411656e-08;0.11557498577322022
;5.24563678844063e-08;0.11540260769811435;5.24563678844063e-08;0.11376701035757875
;5.259018514940095e-08;0.11404352136963516;5.259018514940095e-08;0.11467886642745329
;5.272400241439559e-08;0.10866751339839766;5.272400241439559e-08;0.11377492699258632
;5.285781967939024e-08;0.10146933770352547;5.285781967939024e-08;0.10791729857540194
;5.2991636944384884e-08;0.10012658777663683;5.2991636944384884e-08;0.10476375010817383
;5.312545420981321e-08;0.09744632010834164;5.312545420981321e-08;0.10117044409385124
;5.3259271474807857e-08;0.09158481283649289;5.3259271474807857e-08;0.10026173263919361
;5.33930887398025e-08;0.08709755384801807;5.33930887398025e-08;0.09664360075047812
;5.352690600479715e-08;0.08755631003523943;5.352690600479715e-08;0.09484494640142326
;5.3660723269791794e-08;0.08530043449163463;5.3660723269791794e-08;0.08990644287363218
;5.379454053478644e-08;0.08618854273541851;5.379454053478644e-08;0.09034899920249703
;5.3928357799781085e-08;0.0789976845131444;5.3928357799781085e-08;0.09080653564003556
;5.406217506477573e-08;0.07764806407797274;5.406217506477573e-08;0.0858512912606572
;5.4195992329770376e-08;0.07673825165115655;5.4195992329770376e-08;0.08406170771819568
;5.432980959476502e-08;0.07492237504055142;5.432980959476502e-08;0.08361477864145542
;5.446362685975967e-08;0.0726767806012061;5.446362685975967e-08;0.08134085518168484
;5.459744412475431e-08;0.07042539596073946;5.459744412475431e-08;0.07548255483674812
;5.473126138974896e-08;0.0708698131450566;5.473126138974896e-08;0.0718870299245403
;5.4865078654743604e-08;0.06954170874926906;5.4865078654743604e-08;0.07367521803532719
;5.499889591973825e-08;0.0655119299995418;5.499889591973825e-08;0.07097107176576238
;5.5132713184732896e-08;0.06459841127025419;5.5132713184732896e-08;0.0655729264808942
;5.526653044972754e-08;0.06280513441315654;5.526653044972754e-08;0.06423650755472733
;5.540034771472219e-08;0.0569369209684585;5.540034771472219e-08;0.0628931764845907
;5.553416497971683e-08;0.05335540402478009;5.553416497971683e-08;0.0619823704630504
;5.566798224471148e-08;0.052451718601039345;5.566798224471148e-08;0.05793323055817693
;5.5801799509706124e-08;0.05333243014850779;5.5801799509706124e-08;0.055241744687813364
;5.593561677470077e-08;0.05242866419478771;5.593561677470077e-08;0.053432566258996804
;5.6069434039695415e-08;0.05108552181957646;5.6069434039695415e-08;0.050283253303854095
;5.620325130469006e-08;0.05331176994699177;5.620325130469006e-08;0.04892434200298733
;5.6337068569684706e-08;0.053315177847851794;5.6337068569684706e-08;0.04622061197040506
;5.647088583511303e-08;0.05240235112160603;5.647088583511303e-08;0.04352879623837124
;5.660470310010768e-08;0.04927615703979351;5.660470310010768e-08;0.04308740919227809
;5.6738520365102324e-08;0.045695033581154475;5.6738520365102324e-08;0.04220356314367347
;5.687233763009697e-08;0.044362633735644814;5.687233763009697e-08;0.03949427110112024
;5.7006154895091615e-08;0.04211201206585699;5.7006154895091615e-08;0.037239272320766195
;5.713997216008626e-08;0.03986731458422675;5.713997216008626e-08;0.0376739094056381
;5.7273789425080907e-08;0.038093100162911724;5.7273789425080907e-08;0.03632049176662947
;5.740760669007555e-08;0.03809311152425129;5.740760669007555e-08;0.0327440621371466
;5.75414239550702e-08;0.03539926796397376;5.75414239550702e-08;0.030944145367900584
;5.7675241220064843e-08;0.03448929425723168;5.7675241220064843e-08;0.029135781022459777
;5.780905848505949e-08;0.0322469607609077;5.780905848505949e-08;0.028243554665122995
;5.7942875750054135e-08;0.029551641627539316;5.7942875750054135e-08;0.026456340740153437
;5.807669301504878e-08;0.029548437148268155;5.807669301504878e-08;0.026009957538211483
;5.8210510280043426e-08;0.029547056178967867;5.8210510280043426e-08;0.0242173829673071
;5.834432754503807e-08;0.02776577515885963;5.834432754503807e-08;0.02241734915183237
;5.847814481003272e-08;0.027320922314905013;5.847814481003272e-08;0.021971444246958922
;5.861196207502736e-08;0.02642454876436831;5.861196207502736e-08;0.020628755688830536
;5.874577934002201e-08;0.025077386436014582;5.874577934002201e-08;0.019728124197342975
;5.8879596605016654e-08;0.022387138489286095;5.8879596605016654e-08;0.019280442132582596
;5.90134138700113e-08;0.02103831917276076;5.90134138700113e-08;0.019733576864583366
;5.9147231135005945e-08;0.01926058483401646;5.9147231135005945e-08;0.017491339407791948
;5.928104840000059e-08;0.01791753274187283;5.928104840000059e-08;0.01659306950101443
;5.941486566499524e-08;0.01523049374775801;5.941486566499524e-08;0.017044347147292086
;5.954868292998988e-08;0.014333847356127126;5.954868292998988e-08;0.01703526482859684
;5.968250019498453e-08;0.014333432314211513;5.968250019498453e-08;0.01523658429455878
;5.981631745997917e-08;0.014330147061289036;5.981631745997917e-08;0.01388840665697725
;5.99501347254075e-08;0.014778910874816904;5.99501347254075e-08;0.012991317197678591
;6.008395199040215e-08;0.014329201461093148;6.008395199040215e-08;0.012995974172467914
;6.021776925539679e-08;0.014329306592427007;6.021776925539679e-08;0.011209543202626704
